County,State,Cluster_idx
Autauga,Alabama,1
Baldwin,Alabama,7
Barbour,Alabama,2
Bibb,Alabama,8
Blount,Alabama,9
Bullock,Alabama,1
Butler,Alabama,5
Calhoun,Alabama,8
Chambers,Alabama,6
Cherokee,Alabama,9
Chilton,Alabama,8
Choctaw,Alabama,3
Clarke,Alabama,3
Clay,Alabama,2
Cleburne,Alabama,8
Coffee,Alabama,8
Colbert,Alabama,1
Conecuh,Alabama,8
Coosa,Alabama,2
Covington,Alabama,8
Crenshaw,Alabama,2
Cullman,Alabama,8
Dale,Alabama,10
Dallas,Alabama,1
DeKalb,Alabama,2
Elmore,Alabama,3
Escambia,Alabama,2
Etowah,Alabama,3
Fayette,Alabama,10
Franklin,Alabama,3
Geneva,Alabama,10
Greene,Alabama,5
Hale,Alabama,1
Henry,Alabama,2
Houston,Alabama,2
Jackson,Alabama,3
Jefferson,Alabama,3
Lamar,Alabama,10
Lauderdale,Alabama,1
Lawrence,Alabama,10
Lee,Alabama,5
Limestone,Alabama,10
Lowndes,Alabama,6
Macon,Alabama,3
Madison,Alabama,8
Marengo,Alabama,1
Marion,Alabama,5
Marshall,Alabama,3
Mobile,Alabama,1
Monroe,Alabama,3
Montgomery,Alabama,1
Morgan,Alabama,9
Perry,Alabama,10
Pickens,Alabama,3
Pike,Alabama,10
Randolph,Alabama,1
Russell,Alabama,10
St. Clair,Alabama,9
Shelby,Alabama,2
Sumter,Alabama,1
Talladega,Alabama,8
Tallapoosa,Alabama,6
Tuscaloosa,Alabama,2
Walker,Alabama,9
Washington,Alabama,1
Wilcox,Alabama,6
Winston,Alabama,8
Aleutians East,Alaska,0
Aleutians West,Alaska,0
Anchorage,Alaska,8
Bethel,Alaska,10
Bristol Bay,Alaska,0
Denali,Alaska,0
Dillingham,Alaska,0
Fairbanks North Star,Alaska,8
Haines,Alaska,0
Hoonah-Angoon,Alaska,0
Juneau,Alaska,10
Kenai Peninsula,Alaska,8
Ketchikan Gateway,Alaska,10
Kodiak Island,Alaska,12
Kusilvak,Alaska,0
Lake and Peninsula,Alaska,0
Matanuska-Susitna,Alaska,9
Nome,Alaska,10
North Slope,Alaska,0
Northwest Arctic,Alaska,0
Petersburg,Alaska,2
Prince of Wales-Hyder,Alaska,11
Sitka,Alaska,10
Skagway,Alaska,0
Southeast Fairbanks,Alaska,10
Valdez-Cordova,Alaska,0
Wrangell,Alaska,0
Yakutat,Alaska,0
Yukon-Koyukuk,Alaska,12
Apache,Arizona,1
Cochise,Arizona,9
Coconino,Arizona,1
Gila,Arizona,9
Graham,Arizona,12
Greenlee,Arizona,10
La Paz,Arizona,3
Maricopa,Arizona,3
Mohave,Arizona,2
Navajo,Arizona,1
Pima,Arizona,3
Pinal,Arizona,2
Santa Cruz,Arizona,10
Yavapai,Arizona,8
Yuma,Arizona,2
Arkansas,Arkansas,10
Ashley,Arkansas,10
Baxter,Arkansas,10
Benton,Arkansas,12
Boone,Arkansas,10
Bradley,Arkansas,2
Calhoun,Arkansas,0
Carroll,Arkansas,12
Chicot,Arkansas,10
Clark,Arkansas,10
Clay,Arkansas,10
Cleburne,Arkansas,2
Cleveland,Arkansas,10
Columbia,Arkansas,2
Conway,Arkansas,4
Craighead,Arkansas,8
Crawford,Arkansas,10
Crittenden,Arkansas,5
Cross,Arkansas,10
Dallas,Arkansas,12
Desha,Arkansas,10
Drew,Arkansas,2
Faulkner,Arkansas,8
Franklin,Arkansas,10
Fulton,Arkansas,10
Garland,Arkansas,9
Grant,Arkansas,10
Greene,Arkansas,10
Hempstead,Arkansas,3
Hot Spring,Arkansas,10
Howard,Arkansas,10
Independence,Arkansas,10
Izard,Arkansas,10
Jackson,Arkansas,10
Jefferson,Arkansas,1
Johnson,Arkansas,10
Lafayette,Arkansas,2
Lawrence,Arkansas,5
Lee,Arkansas,1
Lincoln,Arkansas,5
Little River,Arkansas,0
Logan,Arkansas,12
Lonoke,Arkansas,10
Madison,Arkansas,10
Marion,Arkansas,10
Miller,Arkansas,8
Mississippi,Arkansas,9
Monroe,Arkansas,10
Montgomery,Arkansas,0
Nevada,Arkansas,10
Newton,Arkansas,10
Ouachita,Arkansas,10
Perry,Arkansas,10
Phillips,Arkansas,1
Pike,Arkansas,10
Poinsett,Arkansas,2
Polk,Arkansas,10
Pope,Arkansas,9
Prairie,Arkansas,10
Pulaski,Arkansas,2
Randolph,Arkansas,10
St. Francis,Arkansas,9
Saline,Arkansas,8
Scott,Arkansas,10
Searcy,Arkansas,10
Sebastian,Arkansas,10
Sevier,Arkansas,1
Sharp,Arkansas,2
Stone,Arkansas,10
Union,Arkansas,2
Van Buren,Arkansas,2
Washington,Arkansas,2
White,Arkansas,9
Woodruff,Arkansas,10
Yell,Arkansas,1
Alameda,California,2
Alpine,California,10
Amador,California,10
Butte,California,10
Calaveras,California,10
Colusa,California,10
Contra Costa,California,8
Del Norte,California,10
El Dorado,California,10
Fresno,California,2
Glenn,California,10
Humboldt,California,9
Imperial,California,1
Inyo,California,8
Kern,California,2
Kings,California,1
Lake,California,10
Lassen,California,0
Los Angeles,California,1
Madera,California,7
Marin,California,2
Mariposa,California,0
Mendocino,California,10
Merced,California,2
Modoc,California,0
Mono,California,2
Monterey,California,2
Napa,California,7
Nevada,California,9
Orange,California,2
Placer,California,7
Plumas,California,10
Riverside,California,1
Sacramento,California,2
San Benito,California,3
San Bernardino,California,3
San Diego,California,3
San Francisco,California,2
San Joaquin,California,2
San Luis Obispo,California,9
San Mateo,California,3
Santa Barbara,California,2
Santa Clara,California,2
Santa Cruz,California,8
Shasta,California,8
Sierra,California,0
Siskiyou,California,10
Solano,California,8
Sonoma,California,8
Stanislaus,California,2
Sutter,California,8
Tehama,California,2
Trinity,California,0
Tulare,California,1
Tuolumne,California,10
Ventura,California,2
Yolo,California,2
Yuba,California,8
Adams,Colorado,1
Alamosa,Colorado,1
Arapahoe,Colorado,6
Archuleta,Colorado,10
Baca,Colorado,10
Bent,Colorado,0
Boulder,Colorado,5
Broomfield,Colorado,5
Chaffee,Colorado,5
Cheyenne,Colorado,0
Clear Creek,Colorado,2
Conejos,Colorado,0
Costilla,Colorado,11
Crowley,Colorado,1
Custer,Colorado,10
Delta,Colorado,2
Denver,Colorado,6
Dolores,Colorado,0
Douglas,Colorado,2
Eagle,Colorado,5
Elbert,Colorado,3
El Paso,Colorado,1
Fremont,Colorado,10
Garfield,Colorado,2
Gilpin,Colorado,10
Grand,Colorado,10
Gunnison,Colorado,5
Hinsdale,Colorado,10
Huerfano,Colorado,10
Jackson,Colorado,0
Jefferson,Colorado,5
Kiowa,Colorado,0
Kit Carson,Colorado,5
Lake,Colorado,10
La Plata,Colorado,9
Larimer,Colorado,3
Las Animas,Colorado,10
Lincoln,Colorado,10
Logan,Colorado,1
Mesa,Colorado,10
Mineral,Colorado,10
Moffat,Colorado,10
Montezuma,Colorado,3
Montrose,Colorado,5
Morgan,Colorado,6
Otero,Colorado,2
Ouray,Colorado,3
Park,Colorado,10
Phillips,Colorado,10
Pitkin,Colorado,2
Prowers,Colorado,10
Pueblo,Colorado,3
Rio Blanco,Colorado,12
Rio Grande,Colorado,9
Routt,Colorado,5
Saguache,Colorado,8
San Juan,Colorado,0
San Miguel,Colorado,10
Sedgwick,Colorado,0
Summit,Colorado,2
Teller,Colorado,3
Washington,Colorado,10
Weld,Colorado,1
Yuma,Colorado,10
Fairfield,Connecticut,6
Hartford,Connecticut,6
Litchfield,Connecticut,6
Middlesex,Connecticut,6
New Haven,Connecticut,6
New London,Connecticut,5
Tolland,Connecticut,1
Windham,Connecticut,2
Kent,Delaware,1
New Castle,Delaware,5
Sussex,Delaware,1
District of Columbia,District of Columbia,6
Alachua,Florida,8
Baker,Florida,2
Bay,Florida,8
Bradford,Florida,2
Brevard,Florida,8
Broward,Florida,2
Calhoun,Florida,2
Charlotte,Florida,2
Citrus,Florida,8
Clay,Florida,1
Collier,Florida,2
Columbia,Florida,8
DeSoto,Florida,1
Dixie,Florida,8
Duval,Florida,2
Escambia,Florida,2
Flagler,Florida,8
Franklin,Florida,10
Gadsden,Florida,9
Gilchrist,Florida,10
Glades,Florida,1
Gulf,Florida,10
Hamilton,Florida,10
Hardee,Florida,10
Hendry,Florida,1
Hernando,Florida,8
Highlands,Florida,2
Hillsborough,Florida,8
Holmes,Florida,10
Indian River,Florida,8
Jackson,Florida,12
Jefferson,Florida,2
Lafayette,Florida,10
Lake,Florida,8
Lee,Florida,3
Leon,Florida,2
Levy,Florida,12
Liberty,Florida,10
Madison,Florida,2
Manatee,Florida,3
Marion,Florida,8
Martin,Florida,2
Miami-Dade,Florida,5
Monroe,Florida,8
Nassau,Florida,9
Okaloosa,Florida,8
Okeechobee,Florida,10
Orange,Florida,2
Osceola,Florida,8
Palm Beach,Florida,3
Pasco,Florida,8
Pinellas,Florida,8
Polk,Florida,2
Putnam,Florida,8
St. Johns,Florida,8
St. Lucie,Florida,2
Santa Rosa,Florida,3
Sarasota,Florida,2
Seminole,Florida,8
Sumter,Florida,8
Suwannee,Florida,5
Taylor,Florida,10
Union,Florida,12
Volusia,Florida,8
Wakulla,Florida,2
Walton,Florida,8
Washington,Florida,8
Appling,Georgia,6
Atkinson,Georgia,1
Bacon,Georgia,1
Baker,Georgia,1
Baldwin,Georgia,1
Banks,Georgia,12
Barrow,Georgia,1
Bartow,Georgia,6
Ben Hill,Georgia,8
Berrien,Georgia,10
Bibb,Georgia,2
Bleckley,Georgia,10
Brantley,Georgia,1
Brooks,Georgia,6
Bryan,Georgia,5
Bulloch,Georgia,2
Burke,Georgia,5
Butts,Georgia,6
Calhoun,Georgia,6
Camden,Georgia,8
Candler,Georgia,10
Carroll,Georgia,5
Catoosa,Georgia,10
Charlton,Georgia,8
Chatham,Georgia,2
Chattahoochee,Georgia,10
Chattooga,Georgia,3
Cherokee,Georgia,3
Clarke,Georgia,1
Clay,Georgia,6
Clayton,Georgia,5
Clinch,Georgia,2
Cobb,Georgia,1
Coffee,Georgia,1
Colquitt,Georgia,1
Columbia,Georgia,8
Cook,Georgia,3
Coweta,Georgia,2
Crawford,Georgia,10
Crisp,Georgia,5
Dade,Georgia,1
Dawson,Georgia,2
Decatur,Georgia,3
DeKalb,Georgia,3
Dodge,Georgia,2
Dooly,Georgia,6
Dougherty,Georgia,6
Douglas,Georgia,3
Early,Georgia,6
Echols,Georgia,10
Effingham,Georgia,2
Elbert,Georgia,10
Emanuel,Georgia,8
Evans,Georgia,10
Fannin,Georgia,8
Fayette,Georgia,3
Floyd,Georgia,3
Forsyth,Georgia,3
Franklin,Georgia,8
Fulton,Georgia,5
Gilmer,Georgia,12
Glascock,Georgia,0
Glynn,Georgia,8
Gordon,Georgia,1
Grady,Georgia,3
Greene,Georgia,2
Gwinnett,Georgia,1
Habersham,Georgia,1
Hall,Georgia,3
Hancock,Georgia,6
Haralson,Georgia,2
Harris,Georgia,2
Hart,Georgia,10
Heard,Georgia,1
Henry,Georgia,2
Houston,Georgia,3
Irwin,Georgia,2
Jackson,Georgia,2
Jasper,Georgia,8
Jeff Davis,Georgia,3
Jefferson,Georgia,3
Jenkins,Georgia,2
Johnson,Georgia,5
Jones,Georgia,10
Lamar,Georgia,2
Lanier,Georgia,1
Laurens,Georgia,7
Lee,Georgia,6
Liberty,Georgia,10
Lincoln,Georgia,9
Long,Georgia,8
Lowndes,Georgia,3
Lumpkin,Georgia,8
McDuffie,Georgia,5
McIntosh,Georgia,12
Macon,Georgia,5
Madison,Georgia,3
Marion,Georgia,2
Meriwether,Georgia,8
Miller,Georgia,10
Mitchell,Georgia,6
Monroe,Georgia,1
Montgomery,Georgia,10
Morgan,Georgia,10
Murray,Georgia,8
Muscogee,Georgia,3
Newton,Georgia,3
Oconee,Georgia,8
Oglethorpe,Georgia,1
Paulding,Georgia,3
Peach,Georgia,3
Pickens,Georgia,3
Pierce,Georgia,5
Pike,Georgia,2
Polk,Georgia,12
Pulaski,Georgia,3
Putnam,Georgia,5
Quitman,Georgia,1
Rabun,Georgia,8
Randolph,Georgia,6
Richmond,Georgia,3
Rockdale,Georgia,3
Schley,Georgia,5
Screven,Georgia,3
Seminole,Georgia,5
Spalding,Georgia,5
Stephens,Georgia,2
Stewart,Georgia,8
Sumter,Georgia,6
Talbot,Georgia,3
Taliaferro,Georgia,0
Tattnall,Georgia,10
Taylor,Georgia,1
Telfair,Georgia,8
Terrell,Georgia,6
Thomas,Georgia,6
Tift,Georgia,5
Toombs,Georgia,3
Towns,Georgia,8
Treutlen,Georgia,10
Troup,Georgia,1
Turner,Georgia,6
Twiggs,Georgia,10
Union,Georgia,2
Upson,Georgia,6
Walker,Georgia,10
Walton,Georgia,3
Ware,Georgia,1
Warren,Georgia,10
Washington,Georgia,2
Wayne,Georgia,10
Webster,Georgia,5
Wheeler,Georgia,10
White,Georgia,8
Whitfield,Georgia,1
Wilcox,Georgia,6
Wilkes,Georgia,8
Wilkinson,Georgia,1
Worth,Georgia,6
Hawaii,Hawaii,10
Honolulu,Hawaii,9
Kalawao,Hawaii,0
Kauai,Hawaii,10
Maui,Hawaii,8
Ada,Idaho,2
Adams,Idaho,10
Bannock,Idaho,10
Bear Lake,Idaho,0
Benewah,Idaho,0
Bingham,Idaho,10
Blaine,Idaho,5
Boise,Idaho,0
Bonner,Idaho,10
Bonneville,Idaho,10
Boundary,Idaho,0
Butte,Idaho,0
Camas,Idaho,12
Canyon,Idaho,2
Caribou,Idaho,12
Cassia,Idaho,1
Clark,Idaho,0
Clearwater,Idaho,0
Custer,Idaho,10
Elmore,Idaho,2
Franklin,Idaho,0
Fremont,Idaho,10
Gem,Idaho,10
Gooding,Idaho,10
Idaho,Idaho,11
Jefferson,Idaho,10
Jerome,Idaho,1
Kootenai,Idaho,10
Latah,Idaho,10
Lemhi,Idaho,10
Lewis,Idaho,0
Lincoln,Idaho,10
Madison,Idaho,10
Minidoka,Idaho,10
Nez Perce,Idaho,6
Oneida,Idaho,0
Owyhee,Idaho,10
Payette,Idaho,2
Power,Idaho,10
Shoshone,Idaho,0
Teton,Idaho,10
Twin Falls,Idaho,1
Valley,Idaho,10
Washington,Idaho,10
Adams,Illinois,9
Alexander,Illinois,10
Bond,Illinois,2
Boone,Illinois,1
Brown,Illinois,0
Bureau,Illinois,8
Calhoun,Illinois,12
Carroll,Illinois,3
Cass,Illinois,10
Champaign,Illinois,3
Christian,Illinois,2
Clark,Illinois,10
Clay,Illinois,10
Clinton,Illinois,5
Coles,Illinois,3
Cook,Illinois,6
Crawford,Illinois,10
Cumberland,Illinois,10
DeKalb,Illinois,2
De Witt,Illinois,10
Douglas,Illinois,10
DuPage,Illinois,1
Edgar,Illinois,0
Edwards,Illinois,0
Effingham,Illinois,8
Fayette,Illinois,2
Ford,Illinois,3
Franklin,Illinois,10
Fulton,Illinois,12
Gallatin,Illinois,10
Greene,Illinois,10
Grundy,Illinois,8
Hamilton,Illinois,10
Hancock,Illinois,10
Hardin,Illinois,12
Henderson,Illinois,10
Henry,Illinois,10
Iroquois,Illinois,2
Jackson,Illinois,1
Jasper,Illinois,6
Jefferson,Illinois,5
Jersey,Illinois,8
Jo Daviess,Illinois,12
Johnson,Illinois,10
Kane,Illinois,1
Kankakee,Illinois,1
Kendall,Illinois,1
Knox,Illinois,10
Lake,Illinois,1
LaSalle,Illinois,2
Lawrence,Illinois,10
Lee,Illinois,9
Livingston,Illinois,8
Logan,Illinois,10
McDonough,Illinois,2
McHenry,Illinois,1
McLean,Illinois,2
Macon,Illinois,3
Macoupin,Illinois,8
Madison,Illinois,3
Marion,Illinois,10
Marshall,Illinois,10
Mason,Illinois,10
Massac,Illinois,10
Menard,Illinois,10
Mercer,Illinois,10
Monroe,Illinois,5
Montgomery,Illinois,3
Morgan,Illinois,2
Moultrie,Illinois,10
Ogle,Illinois,2
Peoria,Illinois,2
Perry,Illinois,10
Piatt,Illinois,10
Pike,Illinois,10
Pope,Illinois,0
Pulaski,Illinois,10
Putnam,Illinois,0
Randolph,Illinois,2
Richland,Illinois,10
Rock Island,Illinois,3
St. Clair,Illinois,1
Saline,Illinois,10
Sangamon,Illinois,3
Schuyler,Illinois,10
Scott,Illinois,0
Shelby,Illinois,8
Stark,Illinois,10
Stephenson,Illinois,9
Tazewell,Illinois,7
Union,Illinois,3
Vermilion,Illinois,8
Wabash,Illinois,10
Warren,Illinois,10
Washington,Illinois,11
Wayne,Illinois,8
White,Illinois,10
Whiteside,Illinois,3
Will,Illinois,1
Williamson,Illinois,9
Winnebago,Illinois,1
Woodford,Illinois,8
Adams,Indiana,2
Allen,Indiana,1
Bartholomew,Indiana,1
Benton,Indiana,10
Blackford,Indiana,3
Boone,Indiana,6
Brown,Indiana,3
Carroll,Indiana,4
Cass,Indiana,1
Clark,Indiana,5
Clay,Indiana,2
Clinton,Indiana,1
Crawford,Indiana,10
Daviess,Indiana,6
Dearborn,Indiana,5
Decatur,Indiana,6
DeKalb,Indiana,7
Delaware,Indiana,1
Dubois,Indiana,8
Elkhart,Indiana,1
Fayette,Indiana,1
Floyd,Indiana,6
Fountain,Indiana,1
Franklin,Indiana,6
Fulton,Indiana,8
Gibson,Indiana,9
Grant,Indiana,5
Greene,Indiana,6
Hamilton,Indiana,6
Hancock,Indiana,5
Harrison,Indiana,5
Hendricks,Indiana,6
Henry,Indiana,3
Howard,Indiana,1
Huntington,Indiana,3
Jackson,Indiana,8
Jasper,Indiana,3
Jay,Indiana,10
Jefferson,Indiana,8
Jennings,Indiana,2
Johnson,Indiana,1
Knox,Indiana,10
Kosciusko,Indiana,2
LaGrange,Indiana,3
Lake,Indiana,1
LaPorte,Indiana,3
Lawrence,Indiana,6
Madison,Indiana,6
Marion,Indiana,1
Marshall,Indiana,2
Martin,Indiana,10
Miami,Indiana,8
Monroe,Indiana,2
Montgomery,Indiana,3
Morgan,Indiana,5
Newton,Indiana,6
Noble,Indiana,1
Ohio,Indiana,10
Orange,Indiana,6
Owen,Indiana,2
Parke,Indiana,10
Perry,Indiana,10
Pike,Indiana,10
Porter,Indiana,2
Posey,Indiana,10
Pulaski,Indiana,10
Putnam,Indiana,1
Randolph,Indiana,3
Ripley,Indiana,5
Rush,Indiana,3
St. Joseph,Indiana,3
Scott,Indiana,1
Shelby,Indiana,6
Spencer,Indiana,2
Starke,Indiana,3
Steuben,Indiana,3
Sullivan,Indiana,9
Switzerland,Indiana,10
Tippecanoe,Indiana,2
Tipton,Indiana,2
Union,Indiana,10
Vanderburgh,Indiana,8
Vermillion,Indiana,10
Vigo,Indiana,3
Wabash,Indiana,2
Warren,Indiana,4
Warrick,Indiana,5
Washington,Indiana,8
Wayne,Indiana,2
Wells,Indiana,10
White,Indiana,2
Whitley,Indiana,2
Adair,Iowa,10
Adams,Iowa,0
Allamakee,Iowa,1
Appanoose,Iowa,1
Audubon,Iowa,2
Benton,Iowa,2
Black Hawk,Iowa,5
Boone,Iowa,10
Bremer,Iowa,2
Buchanan,Iowa,10
Buena Vista,Iowa,10
Butler,Iowa,12
Calhoun,Iowa,0
Carroll,Iowa,10
Cass,Iowa,10
Cedar,Iowa,8
Cerro Gordo,Iowa,9
Cherokee,Iowa,10
Chickasaw,Iowa,10
Clarke,Iowa,10
Clay,Iowa,10
Clayton,Iowa,3
Clinton,Iowa,8
Crawford,Iowa,1
Dallas,Iowa,2
Davis,Iowa,0
Decatur,Iowa,0
Delaware,Iowa,8
Des Moines,Iowa,8
Dickinson,Iowa,10
Dubuque,Iowa,3
Emmet,Iowa,0
Fayette,Iowa,10
Floyd,Iowa,0
Franklin,Iowa,10
Fremont,Iowa,0
Greene,Iowa,10
Grundy,Iowa,10
Guthrie,Iowa,2
Hamilton,Iowa,10
Hancock,Iowa,10
Hardin,Iowa,10
Harrison,Iowa,10
Henry,Iowa,3
Howard,Iowa,10
Humboldt,Iowa,10
Ida,Iowa,0
Iowa,Iowa,10
Jackson,Iowa,10
Jasper,Iowa,5
Jefferson,Iowa,10
Johnson,Iowa,2
Jones,Iowa,10
Keokuk,Iowa,10
Kossuth,Iowa,10
Lee,Iowa,10
Linn,Iowa,5
Louisa,Iowa,5
Lucas,Iowa,0
Lyon,Iowa,10
Madison,Iowa,1
Mahaska,Iowa,1
Marion,Iowa,10
Marshall,Iowa,2
Mills,Iowa,10
Mitchell,Iowa,10
Monona,Iowa,10
Monroe,Iowa,0
Montgomery,Iowa,10
Muscatine,Iowa,6
O'Brien,Iowa,10
Osceola,Iowa,10
Page,Iowa,10
Palo Alto,Iowa,0
Plymouth,Iowa,9
Pocahontas,Iowa,10
Polk,Iowa,1
Pottawattamie,Iowa,3
Poweshiek,Iowa,1
Ringgold,Iowa,0
Sac,Iowa,0
Scott,Iowa,2
Shelby,Iowa,10
Sioux,Iowa,10
Story,Iowa,8
Tama,Iowa,6
Taylor,Iowa,10
Union,Iowa,10
Van Buren,Iowa,10
Wapello,Iowa,2
Warren,Iowa,10
Washington,Iowa,6
Wayne,Iowa,0
Webster,Iowa,8
Winnebago,Iowa,10
Winneshiek,Iowa,10
Woodbury,Iowa,3
Worth,Iowa,10
Wright,Iowa,10
Allen,Kansas,0
Anderson,Kansas,0
Atchison,Kansas,10
Barber,Kansas,12
Barton,Kansas,8
Bourbon,Kansas,2
Brown,Kansas,0
Butler,Kansas,10
Chase,Kansas,10
Chautauqua,Kansas,10
Cherokee,Kansas,10
Cheyenne,Kansas,0
Clark,Kansas,5
Clay,Kansas,2
Cloud,Kansas,10
Coffey,Kansas,6
Comanche,Kansas,0
Cowley,Kansas,2
Crawford,Kansas,8
Decatur,Kansas,0
Dickinson,Kansas,10
Doniphan,Kansas,10
Douglas,Kansas,10
Edwards,Kansas,10
Elk,Kansas,0
Ellis,Kansas,10
Ellsworth,Kansas,0
Finney,Kansas,1
Ford,Kansas,5
Franklin,Kansas,10
Geary,Kansas,10
Gove,Kansas,12
Graham,Kansas,0
Grant,Kansas,10
Gray,Kansas,10
Greeley,Kansas,0
Greenwood,Kansas,10
Hamilton,Kansas,10
Harper,Kansas,0
Harvey,Kansas,10
Haskell,Kansas,10
Hodgeman,Kansas,0
Jackson,Kansas,9
Jefferson,Kansas,10
Jewell,Kansas,10
Johnson,Kansas,3
Kearny,Kansas,2
Kingman,Kansas,0
Kiowa,Kansas,10
Labette,Kansas,10
Lane,Kansas,0
Leavenworth,Kansas,4
Lincoln,Kansas,0
Linn,Kansas,10
Logan,Kansas,0
Lyon,Kansas,2
McPherson,Kansas,10
Marion,Kansas,8
Marshall,Kansas,0
Meade,Kansas,10
Miami,Kansas,10
Mitchell,Kansas,10
Montgomery,Kansas,2
Morris,Kansas,10
Morton,Kansas,10
Nemaha,Kansas,10
Neosho,Kansas,10
Ness,Kansas,0
Norton,Kansas,0
Osage,Kansas,10
Osborne,Kansas,10
Ottawa,Kansas,10
Pawnee,Kansas,0
Phillips,Kansas,10
Pottawatomie,Kansas,10
Pratt,Kansas,12
Rawlins,Kansas,0
Reno,Kansas,10
Republic,Kansas,10
Rice,Kansas,10
Riley,Kansas,9
Rooks,Kansas,10
Rush,Kansas,0
Russell,Kansas,0
Saline,Kansas,2
Scott,Kansas,10
Sedgwick,Kansas,8
Seward,Kansas,8
Shawnee,Kansas,2
Sheridan,Kansas,10
Sherman,Kansas,10
Smith,Kansas,11
Stafford,Kansas,12
Stanton,Kansas,10
Stevens,Kansas,10
Sumner,Kansas,2
Thomas,Kansas,0
Trego,Kansas,0
Wabaunsee,Kansas,10
Wallace,Kansas,0
Washington,Kansas,0
Wichita,Kansas,0
Wilson,Kansas,10
Woodson,Kansas,10
Wyandotte,Kansas,1
Adair,Kentucky,5
Allen,Kentucky,2
Anderson,Kentucky,1
Ballard,Kentucky,10
Barren,Kentucky,9
Bath,Kentucky,2
Bell,Kentucky,0
Boone,Kentucky,3
Bourbon,Kentucky,3
Boyd,Kentucky,2
Boyle,Kentucky,10
Bracken,Kentucky,10
Breathitt,Kentucky,10
Breckinridge,Kentucky,8
Bullitt,Kentucky,3
Butler,Kentucky,6
Caldwell,Kentucky,10
Calloway,Kentucky,2
Campbell,Kentucky,3
Carlisle,Kentucky,3
Carroll,Kentucky,10
Carter,Kentucky,10
Casey,Kentucky,10
Christian,Kentucky,2
Clark,Kentucky,10
Clay,Kentucky,10
Clinton,Kentucky,10
Crittenden,Kentucky,2
Cumberland,Kentucky,10
Daviess,Kentucky,2
Edmonson,Kentucky,5
Elliott,Kentucky,0
Estill,Kentucky,0
Fayette,Kentucky,3
Fleming,Kentucky,10
Floyd,Kentucky,10
Franklin,Kentucky,10
Fulton,Kentucky,10
Gallatin,Kentucky,8
Garrard,Kentucky,10
Grant,Kentucky,1
Graves,Kentucky,5
Grayson,Kentucky,5
Green,Kentucky,11
Greenup,Kentucky,10
Hancock,Kentucky,10
Hardin,Kentucky,8
Harlan,Kentucky,0
Harrison,Kentucky,10
Hart,Kentucky,10
Henderson,Kentucky,2
Henry,Kentucky,10
Hickman,Kentucky,10
Hopkins,Kentucky,6
Jackson,Kentucky,5
Jefferson,Kentucky,1
Jessamine,Kentucky,10
Johnson,Kentucky,10
Kenton,Kentucky,1
Knott,Kentucky,10
Knox,Kentucky,10
Larue,Kentucky,10
Laurel,Kentucky,8
Lawrence,Kentucky,10
Lee,Kentucky,0
Leslie,Kentucky,10
Letcher,Kentucky,10
Lewis,Kentucky,11
Lincoln,Kentucky,2
Livingston,Kentucky,10
Logan,Kentucky,2
Lyon,Kentucky,5
McCracken,Kentucky,2
McCreary,Kentucky,11
McLean,Kentucky,1
Madison,Kentucky,7
Magoffin,Kentucky,0
Marion,Kentucky,10
Marshall,Kentucky,8
Martin,Kentucky,10
Mason,Kentucky,10
Meade,Kentucky,3
Menifee,Kentucky,10
Mercer,Kentucky,10
Metcalfe,Kentucky,0
Monroe,Kentucky,10
Montgomery,Kentucky,10
Morgan,Kentucky,10
Muhlenberg,Kentucky,1
Nelson,Kentucky,12
Nicholas,Kentucky,10
Ohio,Kentucky,10
Oldham,Kentucky,8
Owen,Kentucky,0
Owsley,Kentucky,10
Pendleton,Kentucky,10
Perry,Kentucky,10
Pike,Kentucky,2
Powell,Kentucky,10
Pulaski,Kentucky,8
Robertson,Kentucky,0
Rockcastle,Kentucky,10
Rowan,Kentucky,10
Russell,Kentucky,5
Scott,Kentucky,10
Shelby,Kentucky,1
Simpson,Kentucky,3
Spencer,Kentucky,10
Taylor,Kentucky,12
Todd,Kentucky,10
Trigg,Kentucky,10
Trimble,Kentucky,10
Union,Kentucky,10
Warren,Kentucky,8
Washington,Kentucky,10
Wayne,Kentucky,10
Webster,Kentucky,10
